TEAM,MATCH_UP,GAME_DATE,OUTCOME,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
ORL,ORL @ MIA,44494,L,240,90,33,81,40.7,12,44,27.3,12,19,63.2,6,33,39,21,7,6,18,22,-17
ORL,ORL @ NYK,44493,W,240,110,36,88,40.9,12,43,27.9,26,34,76.5,10,47,57,22,7,4,13,25,6
ORL,ORL vs. NYK,44491,L,240,96,33,83,39.8,17,43,39.5,13,15,86.7,9,37,46,24,5,3,19,18,-25
ORL,ORL @ SAS,44489,L,240,97,35,86,40.7,9,29,31,18,23,78.3,13,31,44,17,6,6,16,20,-26
PHI,PHI @ UTA,44516,L,240,85,33,90,36.7,6,29,20.7,13,17,76.5,6,36,42,19,5,5,9,16,-35
PHI,PHI @ IND,44513,L,240,113,38,89,42.7,12,23,52.2,25,29,86.2,18,28,46,16,11,2,14,22,-5
PHI,PHI vs. TOR,44511,L,240,109,40,88,45.5,11,34,32.4,18,19,94.7,9,30,39,29,8,8,12,16,-6
PHI,PHI vs. MIL,44509,L,240,109,42,103,40.8,14,43,32.6,11,12,91.7,13,33,46,21,7,7,7,20,-9
PHI,PHI vs. NYK,44508,L,240,96,35,91,38.5,13,40,32.5,13,16,81.3,12,35,47,20,7,6,9,13,-7
PHI,PHI @ CHI,44506,W,240,114,43,81,53.1,13,26,50,15,19,78.9,6,35,41,22,6,5,14,22,9
PHI,PHI @ DET,44504,W,240,109,41,83,49.4,12,32,37.5,15,22,68.2,15,34,49,22,8,3,15,17,11
PHI,PHI vs. CHI,44503,W,240,103,38,77,49.4,12,28,42.9,15,21,71.4,5,30,35,24,9,4,14,15,5
PHI,PHI vs. POR,44501,W,240,113,43,83,51.8,13,36,36.1,14,16,87.5,7,27,34,34,11,6,11,18,10
PHI,PHI vs. ATL,44499,W,240,122,46,86,53.5,12,38,31.6,18,19,94.7,5,32,37,24,11,6,12,24,28
PHI,PHI vs. DET,44497,W,240,110,38,76,50,12,27,44.4,22,24,91.7,6,40,46,22,7,9,21,23,8
PHI,PHI @ NYK,44495,L,240,99,36,82,43.9,12,41,29.3,15,17,88.2,12,28,40,24,9,4,15,14,-13
PHI,PHI @ OKC,44493,W,240,115,41,88,46.6,17,41,41.5,16,20,80,12,35,47,25,4,9,12,17,12
PHI,PHI vs. BKN,44491,L,240,109,43,91,47.3,14,36,38.9,9,11,81.8,5,30,35,17,8,9,10,21,-5
PHI,PHI @ NOP,44489,W,240,117,44,85,51.8,13,25,52,16,20,80,6,41,47,24,9,5,13,11,20
PHX,PHX @ MIN,44515,W,240,99,32,85,37.6,7,31,22.6,28,36,77.8,14,38,52,21,8,2,15,23,3
PHX,PHX @ HOU,44514,W,240,115,42,97,43.3,14,40,35,17,20,85,12,40,52,19,16,7,10,19,26
PHX,PHX @ MEM,44512,W,240,119,46,94,48.9,18,37,48.6,9,9,100,4,42,46,28,12,6,12,22,25
PHX,PHX vs. POR,44510,W,240,119,49,94,52.1,11,28,39.3,10,12,83.3,9,30,39,27,6,6,11,20,10
PHX,PHX @ SAC,44508,W,240,109,44,93,47.3,12,30,40,9,11,81.8,5,33,38,28,14,9,15,21,5
PHX,PHX vs. ATL,44506,W,240,121,45,88,51.1,14,43,32.6,17,21,81,5,37,42,26,8,6,12,22,4
PHX,PHX vs. HOU,44504,W,240,123,44,93,47.3,14,31,45.2,21,23,91.3,13,33,46,29,12,8,12,24,12
PHX,PHX vs. NOP,44502,W,240,112,43,82,52.4,9,26,34.6,17,18,94.4,7,35,42,32,8,4,19,17,12
PHX,PHX vs. CLE,44499,W,240,101,39,84,46.4,6,26,23.1,17,27,63,8,44,52,27,12,3,15,14,9
PHX,PHX vs. SAC,44496,L,240,107,42,93,45.2,6,22,27.3,17,24,70.8,14,42,56,23,6,6,11,16,-3
PHX,PHX @ POR,44492,L,240,105,43,89,48.3,9,28,32.1,10,15,66.7,7,31,38,27,6,1,14,19,-29
PHX,PHX @ LAL,44491,W,240,115,42,86,48.8,10,32,31.3,21,28,75,7,40,47,31,8,2,12,22,10
PHX,PHX vs. DEN,44489,L,240,98,36,87,41.4,14,37,37.8,12,17,70.6,11,34,45,23,9,3,18,18,-12
POR,POR vs. TOR,44515,W,240,118,46,82,56.1,16,36,44.4,10,14,71.4,7,32,39,25,6,7,14,15,5
POR,POR @ DEN,44514,L,240,95,35,80,43.8,13,39,33.3,12,13,92.3,8,28,36,22,8,4,13,15,-29
POR,POR @ HOU,44512,W,240,104,34,87,39.1,11,36,30.6,25,31,80.6,11,41,52,21,10,4,14,27,12
POR,POR @ PHX,44510,L,240,109,44,91,48.4,7,30,23.3,14,16,87.5,14,32,46,24,5,2,16,21,-10
POR,POR @ LAC,44509,L,240,109,43,91,47.3,14,37,37.8,9,12,75,9,34,43,29,6,5,10,15,-8
